driver_number,compound,count,min,q25,median,q75,max,mean,std,outliers
81,SOFT,10,74.916,75.882,75.995,76.2285,97.24,79.6394,8.132420757546782,"[92.581, 97.24, 74.916]"
4,SOFT,10,74.948,75.731,76.1655,80.809,97.201,79.7798,7.288871621253258,[97.201]
16,SOFT,11,75.315,76.11,76.177,76.5985,94.858,79.30509090909091,7.055225204832875,"[94.858, 92.152, 75.315]"
44,SOFT,21,75.684,76.734,81.53,82.928,94.307,81.53795238095238,5.598165650248219,[94.307]
12,SOFT,11,75.745,76.54849999999999,77.05,78.291,82.41,77.70327272727273,1.89755153241798,[82.41]
14,SOFT,9,75.794,76.233,81.428,82.155,87.204,79.95466666666667,4.047800791788053,[]
18,SOFT,8,75.828,76.11125,76.273,77.043,82.776,77.201625,2.3043895341282887,[82.776]
63,SOFT,11,75.84,76.32900000000001,76.643,82.17699999999999,97.926,81.18009090909091,8.531063749082472,"[97.926, 96.267]"
5,SOFT,13,75.978,76.946,78.943,82.414,91.311,80.03184615384615,4.44092895398688,[91.311]
27,SOFT,14,76.025,76.837,78.685,79.885,94.589,80.59507142857144,5.704093704919782,"[94.589, 89.372, 87.72]"
87,SOFT,14,76.127,77.05925,83.03649999999999,85.36375,91.882,82.30935714285714,4.9363510753957165,[]
1,SOFT,15,76.162,76.669,79.58,80.82,96.346,80.83533333333334,6.108392630128612,"[96.346, 91.608]"
43,SOFT,10,76.247,77.03225,77.2255,77.4255,78.006,77.20660000000001,0.5566347695452257,[76.247]
30,SOFT,12,76.371,77.2185,82.301,82.47774999999999,97.328,81.45033333333333,5.684282689748082,[97.328]
6,SOFT,6,76.427,76.6965,79.3315,83.57525,95.188,81.84766666666667,7.2842402394942125,[95.188]
55,SOFT,5,76.442,76.841,76.874,77.195,84.158,78.30199999999999,3.284489686389657,[84.158]
22,SOFT,5,76.485,77.393,77.465,79.069,86.457,79.3738,4.067458567705388,[86.457]
23,SOFT,7,76.53,76.8835,77.021,87.247,97.132,82.70628571428571,9.41209239426044,[]
31,SOFT,6,76.531,76.779,77.04050000000001,77.25625,88.22,78.80866666666667,4.618963678864194,[88.22]
10,SOFT,16,76.57,77.07075,77.805,79.5335,97.991,80.7348125,6.7046961673019405,"[97.991, 85.786, 95.793]"
34,SOFT,1,77.269,77.269,77.269,77.269,77.269,77.269,,[]
